 Police_SIN  Department  Num_Events_Handled  Departmental_Rank
725 106 850          14                 108                  8
178 643 011          14                 100                  9
566 074 258          14                  99                 10
561 140 740          15                 134                  1
703 455 238          15                 134                  1
135 176 808          15                 132                  3
084 651 140          15                 130                  4
701 624 439          15                 130                  4
681 204 277          15                 128                  6
177 446 234          15                 125                  7
455 881 334          15                 124                  8
408 167 385          15                 121                  9
514 834 654          15                 118                 10
358 348 019          15                 116                 11
380 553 818          15                 112                 12
344 503 586          15                 107                 13
685 186 405          16                 138                  1
725 581 060          16                 127                  2
301 771 838          16                 123                  3
723 580 619          16                 122                  4
476 430 756          16                 119                  5
035 425 768          16                 114                  6
560 423 188          16                 114                  6
754 681 674          16                 114                  6
530 675 248          16                 113                  9
471 803 346          16                 108                 10
305 574 626          17                 130                  1
562 573 808          17                 130                  1
207 237 645          17                 125                  3
682 416 029          17                 121                  4
178 823 068          17                 118                  5
226 455 061          17                 112                  6
804 138 139          17                 111                  7
113 807 820          17                 110                  8
430 527 747          17                 108                  9
470 435 280          17                 104                 10
853 701 431          17                 103                 11
108 728 338          18                 135                  1
268 348 109          18                 135                  1
613 018 472          18                 129                  3
208 762 765          18                 126                  4
514 068 352          18                 121                  5
667 205 272          18                 121                  5
721 661 049          18                 121                  5
386 782 254          18                 120                  8
654 886 076          18                 114                  9
745 260 257          18                 114                  9
768 567 208          18                 113                 11
354 423 709          18                 110                 12
802 572 339          18                 106                 13
568 118 400          18                 105                 14
385 165 444          18                 102                 15
582 345 047          19                 133                  1
014 583 371          19                 127                  2
028 137 750          19                 123                  3
722 567 864          19                 121                  4
615 406 725          19                 116                  5
627 104 565          19                 114                  6
522 865 047          19                 110                  7
462 455 601          19                 107                  8
685 044 356          19                 107                  8
874 170 335          19                  98                 10
257 037 648          19                  92                 11
078 531 720          20                 136                  1
768 713 208          20                 135                  2
603 144 189          20                 125                  3
320 853 245          20                 122                  4
138 827 464          20                 115                  5
386 110 829          20                 114                  6
406 586 776          20                 114                  6
465 420 131          20                 111                  8
517 530 432          20                 100                  9
172 672 602          20                  98                 10
347 701 450          21                 140                  1
710 582 669          21                 127                  2
258 730 431          21                 123                  3
115 372 302          21                 120                  4
110 687 720          21                 117                  5
357 044 619          21                 116                  6
718 330 129          21                 110                  7
670 274 257          22                 139                  1
547 260 117          22                 124                  2
320 725 732          22                 122                  3
885 546 010          22                 121                  4
345 811 020          22                 115                  5
473 310 282          22                 113                  6
884 603 515          23                 129                  1
655 641 744          23                 127                  2
620 476 119          23                 117                  3
032 718 868          23                 114                  4
735 225 344          23                 114                  4
488 167 354          23                 110                  6
305 844 250          23                 103                  7
546 205 261          23                 100                  8
865 561 708          24                 133                  1
541 802 617          24                 130                  2
835 506 411          24                 129                  3
127 726 602          24                 124                  4
403 153 141          24                 123                  5
356 228 874          24                 118                  6
308 358 456          24                 117                  7
826 605 776          24                 117                  7
406 776 815          24                 116                  9
052 882 537          24                 112                 10
706 641 859          24                 111                 11
230 417 321          24                 106                 12
460 385 511          24                 106                 12
183 401 470          24                 102                 14
450 158 860          24                  94                 15
504 176 140          25                 136                  1
378 502 611          25                 124                  2
347 027 658          25                 119                  3
317 317 444          25                 118                  4
260 573 829          25                 104                  5
128 771 664          26                 134                  1
264 583 584          26                 126                  2
025 431 651          26                 122                  3
273 082 750          26                 120                  4
617 610 878          26                 119                  5
720 316 249          26                 117                  6
804 773 356          26                 110                  7
041 732 736          27                 139                  1
453 768 046          27                 129                  2
716 214 077          27                 122                  3
168 370 419          27                 121                  4
378 843 056          27                 118                  5
415 430 750          27                 109                  6
477 664 106          27                 108                  7
553 172 032          27                 100                  8
460 423 551          27                  99                  9
127 664 514          28                 144                  1
058 322 587          28                 142                  2
114 350 747          28                 134                  3
315 508 820          28                 132                  4
132 408 378          28                 129                  5
174 460 717          28                 128                  6
881 130 439          28                 128                  6
766 581 524          28                 126                  8
226 604 189          28                 123                  9
854 726 700          28                 123                  9
183 253 012          28                 120                 11
415 304 161          28                 119                 12
802 255 687          28                 118                 13
042 258 137          28                 117                 14
088 711 460          28                 117                 14
243 503 588          28                 116                 16
805 813 326          28                 110                 17
140 172 669          28                  93                 18
205 544 760          29                 128                  1
356 204 776          29                 128                  1
137 627 444          29                 122                  3
873 172 035          29                 117                  4
258 046 531          29                 116                  5
460 351 182          29                 107                  6
284 013 877          29                  98                  7
176 270 817          30                 129                  1
415 603 745          30                 124                  2
372 805 440          30                 123                  3
803 772 250          30                 122                  4
580 185 320          30                 112                  5
644 855 314          30                 107                  6
701 443 277          30                 107                  6
284 785 060          30                 103                  8
581 102 837          30                 103                  8
044 331 759          31                 146                  1
483 501 672          31                 140                  2
531 841 047          31                 129                  3
683 114 078          31                 125                  4
021 687 231          31                 120                  5
534 680 186          31                 115                  6
056 227 341          31                 114                  7
410 885 677          31                 113                  8
067 143 545          31                 112                  9
147 206 270          31                 111                 10
704 461 375          31                 110                 11
052 788 338          31                 101                 12
815 675 400          31                  97                 13
665 170 445          32                 134                  1
447 537 036          32                 130                  2
756 744 314          32                 124                  3
644 051 765          32                 122                  4
713 712 834          32                 115                  5
885 305 318          32                 115                  5
208 853 325          32                 111                  7
227 335 502          32                 110                  8
243 862 505          32                 108                  9
811 340 587          32                 107                 10
860 158 138          32                 106                 11
830 527 461          32                  94                 12
227 680 659          33                 126                  1
506 425 388          33                 126                  1
806 218 517          33                 123                  3
077 544 260          33                 122                  4
352 044 689          33                 118                  5
122 056 831          33                 115                  6
284 066 172          33                 107                  7
103 452 280          33                 106                  8
816 677 454          33                 106                  8
135 224 301          33                 104                 10
205 473 358          33                 104                 10
640 235 511          33                 103                 12
038 748 166          33                 100                 13
564 068 245          34                 147                  1
510 583 768          34                 143                  2
654 688 019          34                 131                  3
466 570 272          34                 130                  4
865 345 086          34                 129                  5
628 507 386          34                 128                  6
813 567 484          34                 115                  7
107 347 866          34                 114                  8
018 716 738          34                 112                  9
506 582 287          34                 112                  9
710 645 540          34                 111                 11
166 701 441          35                 138                  1
114 887 664          35                 124                  2
325 568 814          35                 118                  3
721 086 619          35                 117                  4
865 561 401          35                 117                  4
441 058 310          35                 101                  6
874 571 664          35                 100                  7
065 468 415          35                  98                  8
744 617 036          36                 141                  1
310 372 552          36                 140                  2
114 766 041          36                 138                  3
042 233 551          36                 126                  4
688 625 474          36                 125                  5
380 327 122          36                 115                  6
614 088 359          36                 112                  7
820 825 669          36                 110                  8
023 154 750          36                 106                  9
823 801 550          36                 101                 10
114 076 532          37                 135                  1
821 728 334          37                 133                  2
537 426 108          37                 127                  3
037 682 259          37                 126                  4
432 458 354          37                 122                  5
306 782 111          37                 117                  6
485 166 805          37                 115                  7
758 226 039          37                 115                  7
547 065 268          37                 113                  9
564 160 182          37                 102                 10
106 647 712          38                 136                  1
382 712 602          38                 133                  2
610 735 482          38                 127                  3
317 543 049          38                 125                  4
885 605 220          38                 120                  5
084 566 249          38                 119                  6
025 611 732          38                 118                  7
304 473 259          38                 118                  7
203 348 859          38                 116                  9
550 176 440          38                 113                 10
627 185 309          38                 112                 11
246 556 088          38                 102                 12
231 840 562          38                  93                 13
341 261 089          39                 133                  1
203 447 131          39                 132                  2
183 441 039          39                 130                  3
582 334 025          39                 130                  3
178 061 768          39                 123                  5
701 741 332          39                 122                  6
176 102 341          39                 120                  7
228 076 550          39                 119                  8
325 065 241          39                 119                  8
081 254 310          39                 118                 10
334 805 272          39                 113                 11
430 856 252          39                 109                 12
280 612 870          39                 106                 13
378 841 050          39                 105                 14
167 302 512          39                 104                 15
714 467 305          39                 102                 16
608 827 127          39                  98                 17
244 618 039          40                 130                  1
018 277 665          40                 118                  2
704 733 146          40                 112                  3
866 822 554          40                 111                  4
021 856 612          40                 110                  5
833 720 451          40                 108                  6
701 726 838          40                 107                  7
277 083 457          40                 106                  8
482 430 675          40                 106                  8
665 570 248          40                 106                  8
823 710 710          40                 104                 11
358 301 521          40                 102                 12
273 304 758          40                 101                 13
140 866 278          41                 126                  1
552 334 484          41                 126                  1
580 543 817          41                 126                  1
038 146 759          41                 125                  4
062 813 548          41                 121                  5
704 331 552          41                 117                  6
768 701 138          41                 117                  6
461 103 749          41                 116                  8
130 844 517          41                 114                  9
586 622 805          41                 106                 10
761 760 248          41                 105                 11
201 862 547          41                  90                 12
110 733 482          42                 126                  1
823 725 080          42                 126                  1
321 720 732          42                 124                  3
227 537 644          42                 123                  4
721 320 869          42                 122                  5
405 173 345          42                 115                  6
160 743 886          42                 113                  7
546 640 186          42                 112                  8
301 472 239          42                 109                  9
627 780 265          42                 106                 10
233 780 485          42                 105                 11
062 854 625          42                 104                 12
534 670 245          42                 103                 13
374 824 134          42                 101                 14
537 206 245          43                 130                  1
855 266 706          43                 129                  2
401 154 661          43                 127                  3
358 227 684          43                 119                  4
405 571 332          43                 112                  5
243 743 101          43                 111                  6
460 564 586          43                 108                  7
620 714 261          43                 101                  8
586 104 457          43                  94                  9
037 426 475          44                 139                  1
066 547 886          44                 139                  1
665 104 121          44                 135                  3
802 573 568          44                 126                  4
143 043 271          44                 125                  5
546 612 201          44                 124                  6
468 067 111          44                 117                  7
754 781 300          44                 117                  7
554 320 861          44                 116                  9
342 270 139          44                 110                 10
401 664 271          44                 105                 11
416 455 301          44                 101                 12
530 471 325          45                 129                  1
281 047 837          45                 121                  2
382 317 048          45                 120                  3
745 012 260          45                 120                  3
086 226 875          45                 119                  5
527 685 606          45                 114                  6
053 723 748          45                 109                  7
802 253 351          45                 106                  8
815 662 085          45                 102                  9
305 413 486          45                 101                 10
617 456 058          45                 100                 11
182 744 334          45                  94                 12
408 376 275          45                  94                 12
071 681 621          46                 134                  1
017 385 568          46                 121                  2
504 825 860          46                 120                  3
184 760 247          46                 119                  4
644 108 177          46                 119                  4
028 718 237          46                 116                  6
056 158 348          46                 116                  6
322 854 035          46                 114                  8
357 382 019          46                 113                  9
521 170 837          46                 113                  9
547 301 168          46                 113                  9
823 703 715          46                 111                 12
377 082 235          46                 110                 13
442 670 675          46                 110                 13
084 355 262          46                 106                 15
247 052 137          46                 106                 15
462 407 651          46                 106                 15
861 253 201          46                 102                 18
608 627 121          47                 145                  1
678 130 725          47                 132                  2
766 025 548          47                 125                  3
042 652 131          47                 122                  4
058 253 717          47                 121                  5
207 237 140          47                 121                  5
053 274 239          47                 115                  7
310 854 658          47                 114                  8
418 860 177          47                 114                  8
820 133 775          47                 111                 10
622 886 505          47                 110                 11
337 025 472          48                 133                  1
265 468 108          48                 127                  2
533 220 885          48                 119                  3
386 255 814          48                 112                  4
728 527 060          48                 112                  4
806 837 225          48                 111                  6
753 724 608          49                 125                  1
013 543 871          49                 124                  2
431 771 344          49                 120                  3
103 354 718          49                 111                  4
338 150 725          49                 106                  5
860 155 480          49                 106                  5
165 420 738          49                 103                  7
581 306 248          50                 138                  1
543 143 705          50                 124                  2
670 682 111          50                 124                  2
883 251 100          50                 120                  4
260 274 139          50                 118                  5
130 652 746          50                 117                  6
710 317 827          50                 114                  7
483 465 076          50                 113                  8
047 552 666          50                 111                  9
853 203 586          50                 104                 10
065 865 446          50                 102                 11
071 644 710          50                  99                 12
127 650 646          50                  92                 13
610 475 477          51                 128                  1
558 622 080          51                 127                  2
022 687 131          51                 125                  3
458 867 066          51                 123                  4
642 772 057          51                 123                  4
260 552 682          51                 118                  6
377 025 820          51                 113                  7
517 683 405          51                 112                  8
458 701 380          51                 111                  9
332 018 829          51                 105                 10
182 082 560          51                 104                 11
283 217 834          51                 101                 12
613 448 075          51                  97                 13
037 451 457          52                 136                  1
546 618 224          52                 123                  2
347 761 124          52                 119                  3
665 880 415          52                 115                  4
073 843 245          52                 111                  5
438 650 715          52                 110                  6
774 306 146          52                 110                  6
167 743 202          52                 107                  8
406 556 712          52                  99                  9
745 520 460          52                  87                 10
458 731 601          53                 136                  1
452 356 702          53                 134                  2
017 213 349          53                 125                  3
022 687 651          53                 124                  4
416 416 501          53                 124                  4
268 543 584          53                 123                  6
523 420 180          53                 121                  7
146 106 588          53                 120                  8
147 740 617          53                 120                  8
642 817 407          53                 117                 10
735 035 826          53                 117                 10
810 768 168          53                 116                 12
355 460 288          53                 113                 13
088 253 265          53                 108                 14
306 155 748          53                 108                 14
471 034 611          53                 105                 16
042 562 371          54                 126                  1
664 801 859          54                 124                  2
105 148 340          54                 121                  3
117 732 800          54                 113                  4
401 138 870          54                 111                  5
755 662 244          54                 109                  6
386 105 472          54                 106                  7
674 670 856          54                 106                  7
832 730 758          54                 103                  9
384 405 619          55                 132                  1
513 348 805          55                 130                  2
057 431 520          55                 129                  3
453 768 244          55                 126                  4
386 107 148          55                 123                  5
354 153 041          55                 120                  6
774 134 100          55                 120                  6
537 016 248          55                 119                  8
641 648 506          55                 119                  8
511 204 661          55                 118                 10
170 341 341          55                 113                 11
654 776 806          55                 106                 12
243 312 709          55                 105                 13
261 468 029          55                  98                 14
304 477 136          56                 144                  1
170 134 621          56                 138                  2
734 110 869          56                 134                  3
017 532 672          56                 120                  4
332 217 884          56                 110                  5
861 058 436          56                 110                  5
652 687 708          56                 109                  7
134 851 344          56                 103                  8
055 376 412          56                 102                  9
233 772 052          57                 133                  1
674 880 315          57                 127                  2
880 135 439          57                 127                  2
221 680 531          57                 125                  4
562 582 031          57                 125                  4
327 114 534          57                 123                  6
652 740 887          57                 122                  7
850 668 419          57                 115                  8
105 834 238          57                 114                  9
257 053 827          57                 111                 10
374 820 835          57                 110                 11
660 271 545          57                 107                 12
165 402 231          57                 106                 13
180 224 537          57                 106                 13
076 576 248          57                 103                 15
450 453 717          58                 136                  1
866 022 171          58                 133                  2
127 053 817          58                 132                  3
882 217 607          58                 123                  4
083 711 440          58                 122                  5
542 265 301          58                 122                  5
286 280 177          58                 121                  7
855 328 324          58                 116                  8
342 702 651          58                 115                  9
467 720 835          58                 112                 10
076 231 885          58                 108                 11
673 045 746          58                 101                 12
618 546 774          59                 134                  1
752 306 878          59                 129                  2
144 853 264          59                 120                  3
821 708 237          59                 120                  3
541 660 288          59                 118                  5
620 156 851          59                 117                  6
084 156 645          59                 116                  7
416 780 161          59                 114                  8
504 175 332          59                 103                  9
766 152 144          59                 102                 10
688 530 229          60                 148                  1
803 827 120          60                 141                  2
458 833 209          60                 133                  3
317 455 608          60                 131                  4
273 385 724          60                 122                  5
013 865 472          60                 121                  6
274 310 861          60                 120                  7
462 075 870          60                 118                  8
521 388 306          60                  94                  9
537 106 825          61                 125                  1
278 543 707          61                 122                  2
325 308 112          61                 121                  3
166 174 474          61                 120                  4
837 730 118          61                 118                  5
508 213 287          61                 117                  6
316 554 401          61                 106                  7
134 470 566          62                 139                  1
702 417 627          62                 128                  2
332 548 502          62                 123                  3
026 627 745          62                 114                  4
540 623 121          62                 110                  5
206 455 321          62                 108                  6
221 460 587          62                 108                  6
510 213 382          62                 108                  6
416 556 884          63                 124                  1
650 258 346          63                 124                  1
304 724 685          63                 122                  3
703 544 270          63                 115                  4
665 588 224          63                 112                  5
673 180 485          63                 110                  6
677 031 445          63                 106                  7
560 322 745          63                 104                  8
804 766 251          63                  99                  9
507 266 856          63                  94                 10
328 173 505          63                  89                 11
604 687 285          64                 136                  1
532 580 727          64                 128                  2
760 722 835          64                 128                  2
417 086 535          64                 122                  4
188 031 538          64                 119                  5
033 722 182          64                 116                  6
086 781 457          64                 114                  7
437 681 174          64                 111                  8
501 348 817          64                 111                  8
701 782 336          64                 110                 10
288 506 470          64                 109                 11
356 827 444          64                 108                 12
176 641 702          64                  95                 13
260 775 432          65                 133                  1
764 581 039          65                 132                  2
240 546 671          65                 127                  3
088 661 558          65                 126                  4
332 744 085          65                 118                  5
608 775 268          65                 118                  5
260 358 858          65                 117                  7
542 276 100          65                 114                  8
516 508 868          65                 113                  9
271 670 432          65                 103                 10
740 722 335          65                  96                 11
547 643 106          66                 141                  1
228 330 189          66                 132                  2
306 225 889          66                 125                  3
073 574 410          66                 118                  4
165 261 744          66                 116                  5
315 385 708          66                 116                  5
726 117 062          66                 115                  7
723 410 676          66                 109                  8
754 624 609          66                 106                  9
488 650 110          66                 104                 10
882 730 120          66                 103                 11
655 844 017          67                 134                  1
465 088 235          67                 127                  2
301 764 718          67                 126                  3
547 605 626          67                 126                  3
473 024 180          67                 118                  5
456 834 506          67                 113                  6
850 166 471          67                 113                  6
677 526 808          67                 105                  8
874 316 086          67                 101                  9
401 854 336          67                  99                 10
734 187 107          67                  92                 11
221 788 037          68                 133                  1
810 213 587          68                 128                  2
456 788 306          68                 122                  3
208 568 477          68                 121                  4
853 740 736          68                 121                  4
538 228 057          68                 119                  6
165 180 738          68                 117                  7
165 372 814          68                 115                  8
330 845 249          68                 110                  9
684 430 556          68                 110                  9
256 680 729          68                 105                 11
620 554 287          68                 103                 12
084 524 370          68                 100                 13
018 255 737          69                 140                  1
026 711 341          69                 128                  2
301 762 746          69                 127                  3
741 256 614          69                 120                  4
084 781 335          69                 110                  5
527 166 805          69                 109                  6
322 803 875          69                 108                  7
465 461 101          69                 106                  8
514 675 040          69                 103                  9
223 417 031          70                 133                  1
642 208 557          70                 117                  2
071 164 487          70                 116                  3
557 103 868          70                 116                  3
733 450 258          70                 116                  3
720 527 647          70                 111                  6
186 254 066          70                 110                  7
584 310 346          71                 134                  1
815 806 625          71                 127                  2
507 523 462          71                 123                  3
288 507 668          71                 120                  4
866 718 208          71                 119                  5
188 307 466          71                 118                  6
074 476 250          71                 117                  7
544 103 385          71                 117                  7
672 044 757          71                 112                  9
354 058 810          71                 110                 10
410 458 350          71                 101                 11
178 620 720          72                 129                  1
533 425 484          72                 128                  2
871 170 338          72                 125                  3
453 883 274          72                 122                  4
382 744 134          72                 114                  5
673 214 714          72                 113                  6
553 382 284          72                 112                  7
770 185 338          72                 112                  7
416 554 384          73                 134                  1
764 165 874          73                 129                  2
356 180 521          73                 124                  3
672 670 445          73                 124                  3
541 140 661          73                 118                  5
607 527 868          73                 110                  6
760 325 548          73                 109                  7
801 776 238          73                 104                  8
107 652 232          73                 102                  9
186 086 229          73                 101                 10
147 731 624          73                 100                 11
017 445 560          73                  94                 12
442 855 334          73                  86                 13
705 413 227          74                 131                  1
620 881 169          74                 125                  2
557 432 200          74                 124                  3
228 537 734          74                 123                  4
168 803 229          74                 121                  5
405 385 766          74                 121                  5
706 781 358          74                 120                  7
306 224 551          74                 119                  8
810 746 750          74                 118                  9
243 345 071          74                 114                 10
534 071 345          74                 114                 10
104 177 837          74                 111                 12
554 068 247          74                 102                 13
711 407 627          74                 102                 13
826 028 375          74                  98                 15
352 847 644          75                 137                  1
320 325 871          75                 126                  2
346 541 709          75                 124                  3
405 473 356          75                 122                  4
052 688 520          75                 120                  5
314 850 645          75                 120                  5
261 370 548          75                 115                  7
352 762 801          75                 113                  8
227 410 537          75                  97                  9
741 347 207          76                 143                  1
821 138 674          76                 138                  2
052 437 738          76                 131                  3
108 137 688          76                 121                  4
026 776 252          76                 119                  5
684 405 269          76                 113                  6
540 273 265          76                 110                  7
614 504 561          76                 109                  8
482 460 565          76                 108                  9
742 317 407          76                 108                  9
265 840 835          77                 141                  1
523 311 744          77                 124                  2
883 201 659          77                 124                  2
813 345 501          77                 120                  4
643 140 759          77                 119                  5
015 466 451          77                 115                  6
326 718 012          77                 111                  7
702 234 659          77                 111                  7
705 213 247          77                 110                  9
016 588 527          77                 104                 10
852 347 061          77                 101                 11
876 211 061          77                  96                 12
315 285 031          77                  86                 13
162 280 689          78                 132                  1
831 276 019          78                 128                  2
318 772 654          78                 124                  3
688 045 376          78                 117                  4
023 158 835          78                 115                  5
268 203 189          78                 115                  5
645 231 085          78                 113                  7
507 681 138          78                 102                  8
442 835 500          78                  90                  9
052 652 641          79                 127                  1
108 677 238          79                 125                  2
706 544 566          79                 125                  2
884 560 376          79                 125                  2
238 740 187          79                 123                  5
816 047 757          79                 122                  6
741 703 326          79                 118                  7
610 847 352          79                 116                  8
172 602 740          79                 113                  9
816 830 129          79                 113                  9
183 187 038          79                 110                 11
026 814 566          79                 100                 12
115 640 880          80                 142                  1
134 706 886          80                 124                  2
726 185 077          80                 124                  2
586 620 148          80                 122                  4
102 748 837          80                 119                  5
466 108 172          80                 111                  6
815 866 405          80                 110                  7
167 724 608          80                 109                  8
038 841 557          80                  97                  9
117 743 302          81                 128                  1
204 813 372          81                 125                  2
802 846 550          81                 121                  3
321 374 076          81                 118                  4
728 166 174          81                 118                  4
208 665 778          81                 116                  6
867 311 029          81                 114                  7
856 238 019          81                 105                  8
518 832 035          81                 100                  9
172 806 838          82                 130                  1
033 782 111          82                 129                  2
118 668 474          82                 129                  2
584 310 312          82                 125                  4
332 840 552          82                 123                  5
602 812 877          82                 121                  6
270 574 437          82                 119                  7
102 677 648          82                 117                  8
280 546 649          82                 116                  9
507 681 625          82                 115                 10
823 860 119          82                 114                 11
183 167 444          82                 107                 12
325 805 810          83                 140                  1
178 208 617          83                 127                  2
240 533 489          83                 124                  3
128 027 687          83                 122                  4
605 688 118          83                 120                  5
701 144 537          83                 118                  6
821 058 260          83                 113                  7
456 450 717          83                 112                  8
354 701 740          83                 111                  9
561 802 646          83                 110                 10
325 183 705          83                 109                 11
120 183 777          83                 107                 12
253 377 444          83                 100                 13
486 617 814          84                 141                  1
485 523 062          84                 129                  2
480 523 562          84                 127                  3
558 620 621          84                 126                  4
356 044 271          84                 123                  5
830 145 777          84                 122                  6
180 653 248          84                 120                  7
046 146 759          84                 119                  8
177 104 460          84                 117                  9
567 145 602          84                 117                  9
885 530 618          84                 114                 11
671 420 388          84                 109                 12
328 507 611          84                 104                 13
711 082 669          84                  88                 14
615 804 325          85                 147                  1
227 710 340          85                 133                  2
728 035 536          85                 133                  2
347 012 239          85                 127                  4
746 147 107          85                 120                  5
765 261 102          85                 118                  6
276 546 801          85                 111                  7
337 705 222          85                 104                  8
710 532 870          86                 144                  1
557 204 260          86                 129                  2
865 322 754          86                 127                  3
166 780 486          86                 124                  4
120 671 839          86                 122                  5
511 082 737          86                 122                  5
107 647 836          86                 119                  7
567 320 858          86                 113                  8
244 608 139          86                 111                  9
546 628 108          86                 110                 10
462 473 109          87                 132                  1
620 526 871          87                 131                  2
511 288 607          87                 127                  3
258 802 339          87                 126                  4
623 105 541          87                 113                  5
125 134 734          87                 107                  6
160 422 770          87                 106                  7
270 316 888          87                 103                  8
671 844 066          88                 131                  1
456 688 514          88                 130                  2
877 601 435          88                 129                  3
068 741 131          88                 125                  4
320 417 611          88                 122                  5
754 704 260          88                 122                  5
518 332 101          88                 121                  7
645 270 257          88                 119                  8
225 330 885          88                 118                  9
816 250 161          88                 112                 10
037 527 868          88                 110                 11
052 854 437          88                 109                 12
857 346 514          88                 108                 13
107 146 649          88                 105                 14
107 782 260          88                 103                 15
584 461 164          89                 126                  1
117 732 032          89                 121                  2
064 355 886          89                 117                  3
311 250 880          89                 116                  4
485 680 615          89                 116                  4
254 786 031          89                 114                  6
044 661 759          89                 110                  7
620 586 289          89                 104                  8
221 476 070          90                 148                  1
688 726 405          90                 131                  2
204 576 839          90                 127                  3
825 106 750          90                 124                  4
068 748 136          90                 119                  5
584 583 066          90                 119                  5
285 085 627          90                 114                  7
601 772 866          90                 114                  7
714 660 859          90                 114                  7
302 745 831          90                 111                 10
057 322 372          90                 110                 11
815 235 080          91                 148                  1
084 461 177          91                 142                  2
011 256 831          91                 123                  3
327 764 205          91                 123                  3
432 475 507          91                 119                  5
045 862 117          91                 115                  6
532 044 385          91                 112                  7
640 211 769          91                 108                  8
604 537 746          91                 106                  9
467 103 149          91                 104                 10
722 056 835          91                  99                 11
127 307 817          92                 137                  1
072 613 722          92                 136                  2
837 035 526          92                 131                  3
135 428 068          92                 130                  4
