SIN,Salary_group
307 265 272,80k-90k
258 230 671,Under 5k
772 440 657,5k-10k
716 044 169,Under 5k
752 066 878,60k-70k
328 371 505,Under 5k
657 654 018,30k-40k
468 810 676,20k-30k
602 714 487,Under 5k
021 624 671,10k-20k
470 886 615,5k-10k
140 677 626,90k-100k
385 422 050,40k-50k
027 461 565,20k-30k
327 061 149,Under 5k
311 740 880,80k-90k
074 468 166,20k-30k
170 643 282,10k-20k
147 156 608,40k-50k
670 644 715,Over 100k
586 610 248,10k-20k
778 332 205,10k-20k
385 440 235,60k-70k
478 530 686,50k-60k
346 218 506,60k-70k
314 507 732,40k-50k
231 237 041,70k-80k
104 376 546,20k-30k
805 622 685,5k-10k
227 456 654,20k-30k
316 744 754,60k-70k
742 345 077,Under 5k
380 143 149,10k-20k
614 675 072,Under 5k
235 688 124,10k-20k
305 145 740,20k-30k
641 226 709,5k-10k
880 217 617,Over 100k
056 844 566,60k-70k
123 028 649,Over 100k
402 377 865,40k-50k
654 807 312,10k-20k
602 417 388,20k-30k
140 661 588,5k-10k
302 567 821,Over 100k
011 738 838,30k-40k
441 061 587,Under 5k
650 726 722,Over 100k
862 302 189,10k-20k
206 254 161,Over 100k
657 137 444,30k-40k
728 056 136,Over 100k
652 832 809,60k-70k
537 130 122,70k-80k
564 118 800,50k-60k
470 465 717,60k-70k
682 216 502,Under 5k
652 037 821,Under 5k
617 647 102,Over 100k
118 856 020,70k-80k
561 402 280,Under 5k
177 043 247,50k-60k
233 458 124,10k-20k
557 106 648,30k-40k
861 702 710,10k-20k
488 105 677,5k-10k
160 827 622,50k-60k
537 286 114,40k-50k
452 456 684,90k-100k
028 655 231,Under 5k
522 866 045,5k-10k
223 573 544,Over 100k
503 825 432,10k-20k
581 406 220,40k-50k
378 813 208,5k-10k
442 537 031,40k-50k
543 322 101,20k-30k
167 441 500,Over 100k
447 711 334,50k-60k
278 206 131,Over 100k
265 088 120,20k-30k
534 431 085,50k-60k
752 334 409,5k-10k
768 267 114,40k-50k
055 341 762,40k-50k
386 052 112,50k-60k
667 455 414,80k-90k
544 013 287,80k-90k
610 647 752,Under 5k
243 867 405,Under 5k
605 288 257,60k-70k
831 802 277,20k-30k
810 556 720,5k-10k
865 118 624,70k-80k
170 322 341,80k-90k
817 652 134,30k-40k
076 228 865,Under 5k
346 155 484,60k-70k
203 255 740,5k-10k
167 401 470,40k-50k
317 280 659,50k-60k
355 420 621,80k-90k
628 118 507,40k-50k
327 017 646,Under 5k
062 258 645,30k-40k
042 613 521,Over 100k
830 548 566,50k-60k
023 725 682,5k-10k
813 055 720,Under 5k
208 673 558,Under 5k
044 827 665,40k-50k
240 255 331,Over 100k
835 601 725,40k-50k
805 611 738,10k-20k
201 274 339,60k-70k
833 825 474,10k-20k
014 413 371,40k-50k
661 024 521,Under 5k
865 062 285,10k-20k
430 588 517,20k-30k
810 338 525,90k-100k
088 622 170,20k-30k
435 110 887,Under 5k
723 381 075,Over 100k
476 611 082,10k-20k
716 250 352,70k-80k
304 175 649,70k-80k
471 064 717,10k-20k
015 885 627,Over 100k
378 523 724,80k-90k
372 012 732,Over 100k
881 350 466,20k-30k
668 771 405,Over 100k
557 066 446,5k-10k
066 588 518,Over 100k
684 086 556,Under 5k
476 430 285,Over 100k
684 456 015,20k-30k
627 550 262,Under 5k
143 267 714,Over 100k
550 466 288,10k-20k
237 730 858,5k-10k
534 014 386,10k-20k
325 104 180,10k-20k
764 781 654,20k-30k
557 041 340,Under 5k
831 022 587,Under 5k
550 268 866,40k-50k
034 826 859,Under 5k
641 607 411,10k-20k
801 351 388,40k-50k
862 012 580,30k-40k
653 220 871,Under 5k
881 027 320,Over 100k
106 146 749,30k-40k
756 701 827,20k-30k
110 687 621,40k-50k
622 038 859,80k-90k
871 172 060,Under 5k
534 580 386,70k-80k
546 605 486,Under 5k
877 133 124,Under 5k
581 226 834,10k-20k
127 653 046,20k-30k
186 150 462,10k-20k
120 683 289,Under 5k
256 432 709,90k-100k
857 062 566,80k-90k
776 210 262,60k-70k
665 582 714,60k-70k
516 530 441,60k-70k
622 776 144,10k-20k
264 573 502,20k-30k
716 405 527,40k-50k
115 086 720,90k-100k
125 430 710,Over 100k
645 035 718,Over 100k
805 562 261,80k-90k
744 653 114,60k-70k
284 653 102,Under 5k
462 550 831,Over 100k
588 260 356,40k-50k
118 706 431,70k-80k
168 260 776,50k-60k
270 548 647,5k-10k
881 233 019,40k-50k
623 788 056,5k-10k
083 441 139,5k-10k
028 355 386,60k-70k
326 088 556,20k-30k
885 026 120,Over 100k
620 437 756,50k-60k
770 543 247,Under 5k
652 234 774,80k-90k
534 531 082,Over 100k
564 381 085,Under 5k
455 034 686,10k-20k
813 250 735,Under 5k
328 813 209,20k-30k
672 074 325,40k-50k
223 817 032,Over 100k
137 650 412,Over 100k
431 086 586,5k-10k
522 610 740,40k-50k
853 072 270,5k-10k
280 417 460,5k-10k
341 770 238,30k-40k
544 571 060,Over 100k
144 668 274,90k-100k
204 688 170,Under 5k
447 725 037,60k-70k
713 402 550,Over 100k
764 027 645,30k-40k
443 867 056,50k-60k
307 281 550,5k-10k
518 068 465,70k-80k
330 588 476,10k-20k
770 465 466,Under 5k
617 507 868,20k-30k
508 645 611,90k-100k
220 476 535,60k-70k
017 567 322,Under 5k
645 640 111,10k-20k
453 168 072,20k-30k
534 835 012,Over 100k
521 381 087,60k-70k
041 677 618,Over 100k
713 344 505,Over 100k
027 167 857,20k-30k
720 337 245,Under 5k
621 806 876,40k-50k
068 773 258,50k-60k
011 843 547,20k-30k
684 716 202,30k-40k
862 852 100,5k-10k
330 187 758,Under 5k
502 264 757,5k-10k
327 150 652,50k-60k
431 880 566,Over 100k
065 182 651,10k-20k
031 841 372,40k-50k
344 165 071,60k-70k
827 530 510,Over 100k
308 172 659,30k-40k
034 188 169,20k-30k
886 701 168,5k-10k
688 702 315,Over 100k
084 627 140,5k-10k
711 387 464,10k-20k
485 665 806,50k-60k
513 580 431,30k-40k
823 023 775,40k-50k
760 214 239,Over 100k
054 628 839,10k-20k
144 837 614,Under 5k
126 627 744,10k-20k
703 167 825,80k-90k
665 114 088,40k-50k
558 230 280,Under 5k
502 475 460,10k-20k
861 773 224,10k-20k
472 405 380,10k-20k
253 088 538,Over 100k
384 567 046,40k-50k
758 156 038,Over 100k
261 267 041,Under 5k
453 377 046,Under 5k
034 428 557,80k-90k
641 226 774,50k-60k
188 732 606,Under 5k
703 347 252,Under 5k
880 741 160,80k-90k
607 286 556,20k-30k
244 075 677,60k-70k
127 467 017,20k-30k
531 188 324,Under 5k
231 804 378,80k-90k
372 443 754,70k-80k
261 388 409,5k-10k
143 860 278,Under 5k
661 807 248,10k-20k
540 226 685,Under 5k
702 733 825,30k-40k
241 807 668,10k-20k
806 172 169,Over 100k
133 882 019,Over 100k
754 026 672,5k-10k
682 507 447,90k-100k
071 324 388,Over 100k
855 266 201,20k-30k
760 741 652,50k-60k
820 335 586,50k-60k
135 280 261,Over 100k
084 627 132,Over 100k
120 853 817,30k-40k
460 371 552,5k-10k
115 604 621,90k-100k
258 032 739,Over 100k
067 355 222,Over 100k
261 807 648,Under 5k
130 231 541,40k-50k
556 288 207,Over 100k
042 275 537,60k-70k
567 211 602,Over 100k
477 104 137,Under 5k
388 307 225,Under 5k
431 026 582,Over 100k
583 583 414,30k-40k
388 540 676,30k-40k
645 812 066,Under 5k
731 607 412,Under 5k
614 655 082,50k-60k
143 728 434,5k-10k
770 541 662,20k-30k
880 653 225,Under 5k
250 766 441,10k-20k
123 807 646,70k-80k
670 418 227,80k-90k
665 082 186,5k-10k
608 772 315,40k-50k
620 856 856,Under 5k
221 880 677,70k-80k
357 150 622,Under 5k
450 773 312,30k-40k
586 581 464,Over 100k
753 187 608,60k-70k
716 504 329,Over 100k
866 220 775,90k-100k
074 328 162,70k-80k
527 460 315,60k-70k
713 413 078,80k-90k
118 773 027,Under 5k
405 531 740,5k-10k
258 740 760,Over 100k
742 330 459,10k-20k
817 052 335,10k-20k
715 340 857,10k-20k
184 687 200,Under 5k
866 718 224,40k-50k
358 771 020,Under 5k
072 285 687,5k-10k
418 730 685,Over 100k
253 770 440,70k-80k
160 468 419,Under 5k
764 380 119,Under 5k
456 150 382,60k-70k
046 847 257,60k-70k
662 044 551,40k-50k
276 218 344,50k-60k
733 507 412,30k-40k
071 234 736,20k-30k
370 148 652,30k-40k
130 452 766,30k-40k
106 471 477,60k-70k
760 583 518,70k-80k
011 658 622,70k-80k
726 456 015,50k-60k
021 466 271,20k-30k
514 418 607,50k-60k
441 771 060,10k-20k
301 724 688,50k-60k
872 370 168,5k-10k
533 571 402,10k-20k
554 173 807,Under 5k
338 820 475,40k-50k
862 018 470,40k-50k
074 438 110,60k-70k
770 683 258,Over 100k
886 110 469,5k-10k
481 137 834,40k-50k
680 254 356,5k-10k
338 218 274,20k-30k
864 175 039,80k-90k
728 703 257,10k-20k
807 625 520,Over 100k
443 155 700,Over 100k
817 617 624,5k-10k
206 687 188,60k-70k
657 422 507,50k-60k
715 405 320,30k-40k
028 827 137,60k-70k
381 382 274,90k-100k
561 861 824,50k-60k
725 023 162,50k-60k
467 054 110,5k-10k
801 867 318,10k-20k
537 145 302,Under 5k
862 043 189,20k-30k
881 053 318,50k-60k
583 044 656,Under 5k
068 117 738,5k-10k
543 075 410,20k-30k
173 164 724,Under 5k
054 388 566,80k-90k
114 068 349,5k-10k
622 035 541,80k-90k
680 682 259,50k-60k
544 833 015,20k-30k
083 745 232,Under 5k
304 783 111,10k-20k
306 788 126,Over 100k
140 351 321,60k-70k
278 072 335,40k-50k
105 133 482,Under 5k
221 704 380,20k-30k
344 851 605,Under 5k
580 324 168,Under 5k
560 845 240,40k-50k
258 037 621,70k-80k
018 548 677,Under 5k
135 608 446,60k-70k
046 211 371,Under 5k
066 274 515,20k-30k
086 116 548,Under 5k
876 211 707,20k-30k
867 113 508,60k-70k
241 376 524,80k-90k
021 467 261,Under 5k
753 782 614,Over 100k
856 640 586,10k-20k
511 306 441,10k-20k
661 801 449,20k-30k
011 776 432,50k-60k
440 573 517,70k-80k
026 187 765,10k-20k
611 450 461,10k-20k
431 887 264,50k-60k
172 344 764,Over 100k
407 316 546,80k-90k
650 886 229,Over 100k
584 601 835,40k-50k
142 677 624,Over 100k
265 418 038,Under 5k
283 352 144,Under 5k
437 624 505,10k-20k
264 574 609,Over 100k
083 452 250,5k-10k
742 217 334,60k-70k
662 210 871,10k-20k
402 354 765,70k-80k
253 254 684,Under 5k
753 304 526,20k-30k
280 734 658,Over 100k
374 423 705,Over 100k
225 435 080,70k-80k
685 426 108,50k-60k
354 351 702,90k-100k
456 688 076,Under 5k
317 250 835,40k-50k
270 443 351,40k-50k
850 338 526,5k-10k
356 048 249,10k-20k
583 445 200,30k-40k
025 471 335,20k-30k
473 164 101,5k-10k
750 786 626,50k-60k
026 158 352,Over 100k
667 027 122,40k-50k
226 855 864,5k-10k
541 322 301,10k-20k
341 208 239,70k-80k
730 547 262,90k-100k
064 728 835,40k-50k
445 133 101,70k-80k
738 051 168,10k-20k
307 445 676,30k-40k
250 354 388,Under 5k
234 405 777,5k-10k
146 037 718,5k-10k
370 522 831,40k-50k
011 746 732,Under 5k
250 337 821,10k-20k
820 833 176,Over 100k
530 132 745,60k-70k
243 805 538,60k-70k
172 076 622,20k-30k
115 430 480,5k-10k
832 250 765,10k-20k
627 114 564,80k-90k
302 254 180,5k-10k
016 538 548,Over 100k
142 046 580,90k-100k
618 056 758,50k-60k
077 611 432,40k-50k
274 614 601,Under 5k
711 743 302,Over 100k
354 773 244,20k-30k
441 823 564,40k-50k
542 573 027,10k-20k
758 041 669,Under 5k
517 660 148,Over 100k
110 776 838,Over 100k
661 088 229,90k-100k
746 740 166,20k-30k
057 327 322,30k-40k
720 786 136,10k-20k
865 045 611,40k-50k
034 617 712,90k-100k
725 305 312,30k-40k
437 017 312,5k-10k
278 270 350,20k-30k
813 507 688,Over 100k
170 831 838,40k-50k
745 645 614,Under 5k
168 253 706,70k-80k
455 406 231,50k-60k
810 255 331,10k-20k
322 083 551,30k-40k
873 225 684,Over 100k
486 187 107,20k-30k
137 041 349,20k-30k
228 608 659,20k-30k
446 725 707,10k-20k
043 217 710,10k-20k
053 153 482,10k-20k
385 211 834,Over 100k
243 210 580,10k-20k
603 211 749,80k-90k
652 830 548,60k-70k
865 523 724,5k-10k
116 440 777,Under 5k
032 644 189,Under 5k
680 186 129,40k-50k
322 573 072,40k-50k
433 108 172,5k-10k
326 114 071,50k-60k
806 856 225,40k-50k
670 581 768,20k-30k
178 268 264,5k-10k
753 724 434,50k-60k
862 260 171,30k-40k
077 216 646,90k-100k
027 425 560,10k-20k
276 270 147,Over 100k
776 520 827,Over 100k
541 601 738,40k-50k
116 672 809,20k-30k
183 044 536,60k-70k
138 702 386,Over 100k
583 162 102,60k-70k
034 471 359,Over 100k
268 540 770,10k-20k
054 354 717,70k-80k
178 270 310,80k-90k
741 601 520,30k-40k
186 602 819,Over 100k
715 446 605,70k-80k
264 855 834,Over 100k
052 354 321,Over 100k
755 322 864,30k-40k
265 560 748,Over 100k
402 376 875,20k-30k
032 547 762,80k-90k
567 320 445,60k-70k
860 271 675,Over 100k
465 173 102,Over 100k
880 326 525,Under 5k
337 027 825,5k-10k
013 554 431,50k-60k
764 524 039,Under 5k
813 203 759,80k-90k
406 687 715,5k-10k
613 855 808,Over 100k
067 322 545,10k-20k
850 643 511,Under 5k
107 154 338,10k-20k
761 062 876,Over 100k
234 455 061,Over 100k
265 885 020,10k-20k
440 558 260,20k-30k
705 413 268,40k-50k
162 043 541,Over 100k
345 118 608,Under 5k
704 411 370,Under 5k
881 337 224,Over 100k
021 768 817,Under 5k
021 774 336,30k-40k
025 831 140,50k-60k
044 716 736,Over 100k
684 116 502,10k-20k
541 238 036,10k-20k
647 022 169,Under 5k
761 387 026,40k-50k
850 266 271,80k-90k
315 882 100,Over 100k
381 340 876,90k-100k
238 650 121,Over 100k
053 783 411,20k-30k
531 206 241,Over 100k
260 288 139,Over 100k
657 081 527,80k-90k
627 035 819,50k-60k
610 788 465,80k-90k
653 744 714,40k-50k
586 440 265,5k-10k
855 670 220,40k-50k
345 172 654,Under 5k
067 443 515,5k-10k
814 835 500,Under 5k
344 813 076,50k-60k
472 560 887,30k-40k
680 537 248,90k-100k
558 843 066,10k-20k
374 183 184,10k-20k
243 550 738,30k-40k
558 031 480,Under 5k
023 788 656,90k-100k
043 143 759,20k-30k
476 081 161,50k-60k
034 455 386,90k-100k
321 701 641,20k-30k
668 520 588,50k-60k
753 067 446,50k-60k
268 358 025,20k-30k
277 614 608,80k-90k
582 504 627,20k-30k
107 146 870,Under 5k
268 372 554,30k-40k
850 228 339,5k-10k
162 064 489,5k-10k
447 623 075,30k-40k
114 473 507,60k-70k
810 352 385,80k-90k
702 467 168,Under 5k
825 568 207,Over 100k
584 033 856,40k-50k
115 032 732,40k-50k
853 168 524,Over 100k
376 205 712,Over 100k
814 865 564,30k-40k
803 317 221,Over 100k
354 458 036,10k-20k
320 387 251,20k-30k
753 407 618,60k-70k
771 106 440,60k-70k
441 703 261,Over 100k
856 832 019,5k-10k
561 423 484,40k-50k
510 814 627,70k-80k
320 523 749,Under 5k
527 503 346,Under 5k
327 024 675,20k-30k
357 107 820,Over 100k
826 731 051,Over 100k
853 273 506,40k-50k
874 611 080,5k-10k
708 662 259,50k-60k
432 856 045,Under 5k
160 861 522,10k-20k
567 541 834,70k-80k
314 013 889,60k-70k
622 658 052,10k-20k
715 204 657,70k-80k
477 534 010,50k-60k
817 306 558,40k-50k
077 283 117,60k-70k
467 450 656,20k-30k
627 687 254,5k-10k
378 562 714,40k-50k
130 776 826,90k-100k
827 027 657,5k-10k
102 477 627,80k-90k
526 601 745,10k-20k
205 675 622,Over 100k
178 130 720,Under 5k
543 268 254,80k-90k
754 627 040,Under 5k
462 085 671,80k-90k
113 083 588,10k-20k
446 538 019,Under 5k
108 851 627,80k-90k
827 337 056,Over 100k
452 658 800,Over 100k
874 601 750,40k-50k
042 812 537,5k-10k
347 562 274,Under 5k
582 665 402,Over 100k
567 205 646,Over 100k
381 081 629,5k-10k
110 253 887,50k-60k
352 072 870,Under 5k
441 826 534,20k-30k
277 082 657,30k-40k
201 843 877,Over 100k
174 374 264,20k-30k
710 283 565,20k-30k
657 034 476,Under 5k
671 238 012,5k-10k
054 433 719,10k-20k
483 781 134,10k-20k
627 706 252,Under 5k
864 850 656,30k-40k
650 644 511,Over 100k
653 081 588,10k-20k
228 310 769,Under 5k
314 574 609,30k-40k
145 168 407,40k-50k
068 155 480,Over 100k
227 730 835,40k-50k
246 610 778,Over 100k
058 748 336,60k-70k
867 102 535,80k-90k
477 180 350,40k-50k
041 648 239,40k-50k
284 764 305,40k-50k
264 088 659,50k-60k
227 530 839,10k-20k
834 735 086,5k-10k
237 605 829,60k-70k
081 327 462,70k-80k
052 267 762,30k-40k
025 168 352,50k-60k
645 830 126,20k-30k
208 865 527,20k-30k
683 702 815,5k-10k
821 831 039,10k-20k
441 803 269,40k-50k
062 273 172,10k-20k
870 528 437,70k-80k
015 886 658,Under 5k
388 067 258,5k-10k
557 144 300,Over 100k
708 113 568,90k-100k
237 256 854,Over 100k
550 182 661,30k-40k
823 801 659,Under 5k
183 702 612,10k-20k
628 550 766,Over 100k
654 856 806,50k-60k
033 472 556,40k-50k
114 733 082,20k-30k
682 052 865,30k-40k
338 170 525,40k-50k
257 780 627,20k-30k
254 386 774,10k-20k
165 073 412,20k-30k
226 508 877,Over 100k
165 860 826,Under 5k
547 210 260,30k-40k
521 430 736,70k-80k
544 670 136,Under 5k
174 388 017,90k-100k
764 160 875,60k-70k
760 223 149,10k-20k
835 806 258,5k-10k
762 305 878,5k-10k
564 813 046,Under 5k
480 587 310,40k-50k
877 332 015,Over 100k
110 462 389,40k-50k
167 082 510,40k-50k
486 081 177,90k-100k
247 216 534,90k-100k
662 788 124,Over 100k
330 158 858,50k-60k
855 672 200,30k-40k
738 045 277,5k-10k
320 564 776,Under 5k
403 568 249,Over 100k
220 653 745,30k-40k
458 107 687,20k-30k
543 075 220,40k-50k
684 620 552,Under 5k
316 410 471,5k-10k
611 044 587,30k-40k
762 260 149,70k-80k
726 054 265,Over 100k
732 740 147,Over 100k
467 327 102,60k-70k
401 786 710,40k-50k
855 228 607,60k-70k
022 564 389,60k-70k
755 204 260,Over 100k
706 217 346,30k-40k
173 024 431,Over 100k
177 301 868,20k-30k
711 786 608,30k-40k
528 028 665,40k-50k
615 438 124,60k-70k
861 058 238,30k-40k
416 650 752,Over 100k
527 523 062,70k-80k
207 745 340,10k-20k
135 881 324,5k-10k
126 834 506,10k-20k
180 264 517,80k-90k
558 032 611,5k-10k
334 504 271,20k-30k
307 541 540,40k-50k
721 450 237,Under 5k
143 720 621,30k-40k
645 806 258,60k-70k
415 665 041,Over 100k
410 355 747,70k-80k
330 145 749,30k-40k
703 227 652,20k-30k
052 674 439,5k-10k
430 856 112,40k-50k
314 407 180,Under 5k
084 337 252,60k-70k
773 385 026,40k-50k
705 623 445,50k-60k
206 448 359,Under 5k
183 352 814,80k-90k
405 338 856,60k-70k
580 286 615,10k-20k
886 617 208,Under 5k
147 302 269,30k-40k
603 112 582,60k-70k
103 844 619,Over 100k
278 345 301,40k-50k
822 375 507,Over 100k
756 601 472,Over 100k
814 017 380,30k-40k
825 075 617,70k-80k
125 380 386,60k-70k
644 701 757,40k-50k
865 813 026,40k-50k
320 867 856,40k-50k
543 223 051,20k-30k
207 412 560,10k-20k
658 056 411,Under 5k
227 654 134,20k-30k
885 226 605,50k-60k
167 351 824,Over 100k
856 802 566,90k-100k
085 211 662,Over 100k
620 824 169,10k-20k
184 150 662,Over 100k
537 602 245,10k-20k
866 812 209,30k-40k
243 768 058,30k-40k
461 074 676,30k-40k
271 840 332,30k-40k
533 172 854,40k-50k
821 337 706,60k-70k
105 822 837,40k-50k
268 802 550,50k-60k
164 174 534,40k-50k
860 165 588,40k-50k
142 603 778,Under 5k
331 451 484,Under 5k
230 255 341,Over 100k
466 774 114,60k-70k
821 620 531,5k-10k
160 258 612,Over 100k
750 662 512,80k-90k
470 116 880,5k-10k
256 840 372,Under 5k
447 135 674,Under 5k
086 114 568,Under 5k
641 820 477,Under 5k
465 588 606,Under 5k
466 550 886,Under 5k
233 270 149,70k-80k
672 032 745,20k-30k
206 546 541,90k-100k
376 082 251,Under 5k
730 114 469,40k-50k
870 541 737,Under 5k
721 651 800,10k-20k
174 370 346,5k-10k
257 064 477,20k-30k
176 401 321,20k-30k
538 532 011,Over 100k
564 418 036,Over 100k
266 882 554,90k-100k
226 435 071,Over 100k
733 447 254,20k-30k
568 348 114,90k-100k
513 588 624,50k-60k
640 147 757,40k-50k
877 166 405,20k-30k
220 856 132,70k-80k
804 775 617,40k-50k
431 880 376,Under 5k
856 748 066,50k-60k
853 048 510,5k-10k
440 166 585,60k-70k
553 804 410,40k-50k
672 832 805,10k-20k
823 768 254,60k-70k
332 054 188,20k-30k
144 377 207,Over 100k
708 745 617,70k-80k
306 471 525,40k-50k
338 217 284,20k-30k
730 287 117,30k-40k
620 674 176,Under 5k
230 782 161,Over 100k
